Date,Open,High,Low,Close,Adj Close,Volume
2015-11-20,210.660004,211.320007,210.059998,210.619995,190.866776,5014100
2015-11-23,210.479996,211.169998,209.710007,210.220001,190.504288,2329200
2015-11-24,208.960007,211.009995,208.610001,210.520004,190.776154,3222000
2015-11-25,210.729996,210.929993,210.250000,210.529999,190.785187,1887000
2015-11-27,210.600006,210.990005,210.059998,210.710007,190.948395,1062400
2015-11-30,211.000000,211.080002,209.750000,209.869995,190.187149,5284800
2015-12-01,210.639999,212.029999,210.309998,211.929993,192.053879,4190400
2015-12-02,211.839996,212.199997,209.410004,209.740005,190.069321,3847000
2015-12-03,210.029999,210.339996,205.910004,206.759995,187.368790,5916800
2015-12-04,207.250000,211.169998,207.089996,210.800003,191.029907,6690300
2015-12-07,210.399994,210.449997,208.369995,209.500000,189.851807,5875100
2015-12-08,207.669998,209.199997,206.940002,208.130005,188.610352,7065500
2015-12-09,207.380005,209.850006,205.360001,206.490005,187.124130,5733400
2015-12-10,206.610001,208.580002,206.300003,207.009995,187.595322,6195600
2015-12-11,204.589996,205.259995,202.630005,202.889999,183.861740,8088900
2015-12-14,203.220001,204.179993,201.100006,204.179993,185.030731,8135300
2015-12-15,205.869995,207.250000,205.679993,206.190002,186.852249,4734900
2015-12-16,207.619995,209.580002,205.919998,209.169998,189.552780,5650100
2015-12-17,209.589996,209.679993,206.000000,206.080002,186.752563,6569100
2015-12-18,205.130005,205.229996,202.139999,202.220001,183.254593,7050500
2015-12-21,203.830002,204.229996,202.429993,203.960007,184.831390,3705000
2015-12-22,205.039993,206.229996,203.910004,205.850006,186.544128,4574300
2015-12-23,207.080002,208.460007,206.940002,208.440002,188.891235,5300100
2015-12-24,206.979996,207.539993,206.639999,206.830002,188.505707,2254700
2015-12-28,206.089996,206.449997,205.149994,206.339996,188.059143,3710800
2015-12-29,207.559998,208.800003,207.500000,208.509995,190.212006,4690800
2015-12-30,208.130005,208.210007,206.779999,206.970001,188.807159,5214000
2015-12-31,206.210007,206.899994,204.869995,204.869995,186.891449,6230700
2016-01-04,201.470001,202.009995,199.589996,202.000000,184.273315,7440000
2016-01-05,202.309998,202.880005,201.039993,202.419998,184.656418,5262200
2016-01-06,199.360001,201.020004,198.570007,199.770004,182.239014,5496600
2016-01-07,196.300003,198.399994,194.570007,194.990005,177.878464,7545000
2016-01-08,196.139999,196.809998,192.520004,192.830002,175.908035,8904100
2016-01-11,193.949997,194.330002,190.779999,193.029999,176.090469,7486800
2016-01-12,194.850006,195.500000,192.080002,194.520004,177.449722,5444600
2016-01-13,195.350006,195.809998,189.300003,189.789993,173.134827,7003900
2016-01-14,190.479996,194.199997,188.570007,192.800003,175.880646,6909900
2016-01-15,187.639999,189.690002,186.460007,188.740005,172.176956,8833200
2016-01-19,190.800003,191.009995,187.119995,188.839996,172.268204,7617200
