Date,Open,High,Low,Close,Adj Close,Volume
2015-07-13,50.110001,50.119999,50.110001,50.119999,46.107841,13656
2015-07-14,50.130001,50.130001,50.119999,50.130001,46.117058,31441
2015-07-15,50.119999,50.139999,50.119999,50.130001,46.117058,232137
2015-07-16,50.139999,50.139999,50.130001,50.139999,46.126251,28940
2015-07-17,50.130001,50.150002,50.130001,50.150002,46.135448,26407
2015-07-20,50.139999,50.150002,50.139999,50.150002,46.135448,35889
2015-07-21,50.150002,50.150002,50.130001,50.150002,46.135448,62342
2015-07-22,50.160000,50.169998,50.150002,50.160000,46.144650,52682
2015-07-23,50.160000,50.169998,50.160000,50.169998,46.153854,128525
2015-07-24,50.180000,50.180000,50.160000,50.169998,46.153854,23900
2015-07-27,50.180000,50.189999,50.169998,50.169998,46.153854,35657
2015-07-28,50.180000,50.189999,50.169998,50.169998,46.153854,14533
2015-07-29,50.189999,50.189999,50.169998,50.189999,46.172241,51589
2015-07-30,50.180000,50.200001,50.180000,50.200001,46.181442,37506
2015-07-31,50.200001,50.200001,50.180000,50.200001,46.181442,24243
2015-08-03,50.200001,50.209999,50.189999,50.209999,46.190655,25928
2015-08-04,50.099998,50.099998,50.080002,50.090000,46.179054,107337
2015-08-05,50.090000,50.110001,50.090000,50.110001,46.197487,36830
2015-08-06,50.110001,50.110001,50.099998,50.099998,46.188255,50134
2015-08-07,50.110001,50.119999,50.099998,50.099998,46.188255,118442
2015-08-10,50.099998,50.110001,50.099998,50.099998,46.188255,26536
2015-08-11,50.110001,50.130001,50.110001,50.110001,46.197487,97645
2015-08-12,50.119999,50.130001,50.110001,50.130001,46.215942,51983
2015-08-13,50.130001,50.130001,50.110001,50.110001,46.197487,48490
2015-08-14,50.130001,50.139999,50.119999,50.139999,46.225143,26016
2015-08-17,50.130001,50.139999,50.119999,50.130001,46.215942,406245
2015-08-18,50.139999,50.139999,50.130001,50.139999,46.225143,27684
2015-08-19,50.139999,50.150002,50.119999,50.150002,46.234367,117844
2015-08-20,50.139999,50.160000,50.139999,50.139999,46.225143,18736
2015-08-21,50.150002,50.169998,50.139999,50.150002,46.234367,76339
2015-08-24,50.169998,50.169998,50.150002,50.169998,46.252808,65655
2015-08-25,50.160000,50.180000,50.160000,50.180000,46.262024,106439
2015-08-26,50.160000,50.169998,50.160000,50.160000,46.243580,57642
2015-08-27,50.189999,50.189999,50.169998,50.189999,46.271233,35008
2015-08-28,50.189999,50.189999,50.169998,50.169998,46.252808,64859
2015-08-31,50.180000,50.200001,50.180000,50.180000,46.262024,114595
2015-09-01,50.099998,50.099998,50.080002,50.080002,46.267361,177579
2015-09-02,50.099998,50.099998,50.080002,50.080002,46.267361,44391
2015-09-03,50.090000,50.099998,50.080002,50.080002,46.267361,36438
2015-09-04,50.110001,50.110001,50.099998,50.110001,46.295059,31501
2015-09-07,50.099998,50.119999,50.099998,50.110001,46.295059,36569
2015-09-08,50.110001,50.119999,50.099998,50.119999,46.304298,45234
2015-09-09,50.119999,50.119999,50.099998,50.119999,46.304298,158633
2015-09-10,50.110001,50.130001,50.110001,50.130001,46.313560,39903
2015-09-11,50.130001,50.130001,50.110001,50.130001,46.313560,39971
2015-09-14,50.119999,50.139999,50.119999,50.139999,46.322784,25826
2015-09-15,50.139999,50.139999,50.130001,50.139999,46.322784,17694
2015-09-16,50.139999,50.139999,50.130001,50.139999,46.322784,109297
2015-09-17,50.150002,50.150002,50.139999,50.139999,46.322784,77168
2015-09-18,50.150002,50.160000,50.150002,50.150002,46.332024,12455
2015-09-21,50.150002,50.169998,50.150002,50.169998,46.350502,148122
2015-09-22,50.169998,50.169998,50.160000,50.169998,46.350502,69471
2015-09-23,50.160000,50.169998,50.150002,50.150002,46.332024,285955
2015-09-24,50.160000,50.169998,50.150002,50.169998,46.350502,70377
2015-09-25,50.169998,50.169998,50.150002,50.169998,46.350502,28171
2015-09-28,50.169998,50.189999,50.169998,50.189999,46.368977,51450
2015-09-29,50.169998,50.189999,50.160000,50.189999,46.368977,205757
2015-09-30,50.189999,50.200001,50.169998,50.169998,46.350502,34889
2015-10-01,50.099998,50.099998,50.080002,50.099998,46.380238,72654
2015-10-02,50.090000,50.110001,50.090000,50.110001,46.389484,30585
2015-10-05,50.110001,50.110001,50.099998,50.110001,46.389484,15493
2015-10-06,50.099998,50.119999,50.099998,50.119999,46.398743,50759
2015-10-07,50.099998,50.119999,50.099998,50.119999,46.398743,13214
2015-10-08,50.119999,50.119999,50.099998,50.119999,46.398743,48755
2015-10-09,50.119999,50.130001,50.110001,50.130001,46.408012,31536
2015-10-12,50.130001,50.130001,50.110001,50.130001,46.408012,106385
2015-10-13,50.139999,50.139999,50.119999,50.119999,46.398743,135582
2015-10-14,50.119999,50.139999,50.119999,50.139999,46.417263,16588
2015-10-15,50.130001,50.139999,50.130001,50.139999,46.417263,70797
2015-10-16,50.130001,50.150002,50.130001,50.130001,46.408012,53208
2015-10-19,50.160000,50.160000,50.139999,50.150002,46.426510,47145
2015-10-20,50.160000,50.160000,50.139999,50.139999,46.417263,18170
2015-10-21,50.150002,50.169998,50.150002,50.150002,46.426510,84202
2015-10-22,50.169998,50.169998,50.150002,50.169998,46.445026,48317
2015-10-23,50.169998,50.169998,50.150002,50.150002,46.426510,95840
2015-10-26,50.160000,50.180000,50.160000,50.180000,46.454292,122059
2015-10-27,50.180000,50.180000,50.160000,50.180000,46.454292,69112
2015-10-28,50.169998,50.189999,50.169998,50.189999,46.463547,85355
2015-10-29,50.169998,50.189999,50.169998,50.169998,46.445026,107045
2015-10-30,50.189999,50.189999,50.169998,50.169998,46.445026,89354
2015-11-02,50.099998,50.099998,50.080002,50.090000,46.465694,59248
2015-11-03,50.099998,50.110001,50.090000,50.110001,46.484241,31622
2015-11-04,50.110001,50.110001,50.090000,50.099998,46.474960,32185
2015-11-05,50.110001,50.110001,50.090000,50.099998,46.474960,21596
2015-11-06,50.099998,50.119999,50.099998,50.119999,46.493511,43078
2015-11-09,50.130001,50.130001,50.110001,50.110001,46.484241,55802
2015-11-10,50.119999,50.130001,50.110001,50.130001,46.502800,69725
2015-11-11,50.130001,50.130001,50.110001,50.119999,46.493511,40644
2015-11-12,50.119999,50.139999,50.119999,50.139999,46.512062,64878
2015-11-13,50.139999,50.139999,50.119999,50.139999,46.512062,68679
2015-11-16,50.139999,50.150002,50.130001,50.150002,46.521339,25594
2015-11-17,50.150002,50.150002,50.130001,50.130001,46.502800,37162
2015-11-18,50.139999,50.160000,50.139999,50.160000,46.530624,58259
2015-11-19,50.150002,50.160000,50.139999,50.139999,46.512062,89300
2015-11-20,50.150002,50.169998,50.150002,50.169998,46.539898,27164
2015-11-23,50.169998,50.180000,50.160000,50.180000,46.549171,26569
